obj_id,B,I,R,V,total
200831003901289,0,14,0,0,14
161107002101088,0,11,0,2,13
161006005901038,5,7,0,1,13
161115002101006,11,2,0,0,13
160106002101377,3,9,0,1,13
160106002101285,11,2,0,0,13
151110002601332,5,7,0,1,13
170805005101261,0,11,0,2,13
171205002601353,2,11,0,0,13
171230001601006,3,10,0,0,13
150828005701071,9,4,0,0,13
151009004101262,9,4,0,0,13
201006003601228,6,7,0,0,13
141101003001384,4,8,0,1,13
161115002701304,5,6,0,2,13
200901004601289,3,9,1,0,13
160109002001096,8,5,0,0,13
210730003901017,1,12,0,0,13
151220002801017,6,5,0,2,13
161119003601367,7,6,0,0,13
170220001601134,5,7,0,0,12
140806004701026,12,0,0,0,12
150828005201395,10,1,0,1,12
221110003101271,3,9,0,0,12
150427002301331,8,4,0,0,12
170103001801344,8,4,0,0,12
161109003901340,6,5,0,1,12
141031003601019,8,4,0,0,12
140708007101168,3,8,0,1,12
150211004201391,9,3,0,0,12
161118003001293,6,6,0,0,12
141103003101174,5,3,3,1,12
161009005901256,4,6,0,2,12
221108002301199,11,1,0,0,12
170109002101320,2,4,5,1,12
201204002101080,5,7,0,0,12
161013004401118,3,9,0,0,12
140807005601342,1,10,0,1,12
140308000101248,4,7,0,0,11
171102004501353,5,5,0,1,11
170130001601366,1,10,0,0,11
170928000101220,2,6,0,3,11
151110002601119,3,7,0,1,11
160923003101278,8,2,0,1,11
161229001601228,5,4,2,0,11
161210002601116,1,10,0,0,11
170114002601091,4,7,0,0,11
151220002801284,3,8,0,0,11
181223001601090,11,0,0,0,11
161213002601316,3,8,0,0,11
160919004601208,0,11,0,0,11
160916003801167,9,2,0,0,11
201003005001321,6,5,0,0,11
141101003001379,1,8,0,2,11
161011002801345,3,8,0,0,11
191107003601092,11,0,0,0,11
200825003301056,7,3,0,1,11
140711004401120,1,7,0,3,11
151009004101111,4,3,0,3,10
151109001601352,2,7,0,1,10
161117003001166,3,6,0,1,10
161011002801068,8,1,0,1,10
171027002201123,4,4,0,2,10
151110002601317,4,6,0,0,10
170130001601268,5,5,0,0,10
141104003801157,5,5,0,0,10
140814006001166,7,2,0,1,10
181225002601399,9,0,0,1,10
140308000101264,4,6,0,0,10
141102002701021,5,2,3,0,10
201002002601346,1,9,0,0,10
161210002601222,4,6,0,0,10
151230001601177,1,9,0,0,10
161219002601313,0,10,0,0,10
170905003501316,2,7,0,0,9
221108002301325,0,9,0,0,9
171106003601280,0,9,0,0,9
151009003601118,3,6,0,0,9
200825003301205,0,9,0,0,9
161213002601169,3,5,0,1,9
161006004901038,3,6,0,0,9
221110003101199,2,7,0,0,9
160923003701120,2,6,0,1,9
161009004301370,0,9,0,0,9
161104003301114,0,9,0,0,9
171101001801116,4,5,0,0,9
171102003301212,5,4,0,0,9
151110002601085,3,6,0,0,9
170531002301332,3,5,0,1,9
161011002801095,5,3,0,1,9
170904001401112,7,0,1,1,9
150903002401180,2,6,0,1,9
141104002801123,2,5,0,1,8
170713005601314,1,7,0,0,8
151219001601113,1,7,0,0,8
150101002301244,5,3,0,0,8
151110003701213,3,5,0,0,8
170220001601328,1,6,0,1,8
151009004101026,2,5,0,1,8
170508002601056,4,4,0,0,8
161104003801331,3,5,0,0,8
170906005101375,1,5,0,2,8
151008004001026,6,1,0,1,8
161106004101231,4,4,0,0,8
221104001601394,1,7,0,0,8
171029003301379,1,7,0,0,8
161109004401235,1,7,0,0,8
170117002601178,4,3,0,1,8
161229001601344,3,5,0,0,8
160815004801273,4,4,0,0,8
181223001601290,8,0,0,0,8
140807005601284,2,5,0,1,8
170117002101347,1,7,0,0,8
160111001601021,4,4,0,0,8
151220002801375,2,6,0,0,8
151230002201333,5,3,0,0,8
200905003101352,0,8,0,0,8
161116002801202,7,1,0,0,8
200926004101020,2,6,0,0,8
161118002501241,1,7,0,0,8
140308000101241,2,6,0,0,8
160919004601004,1,6,0,1,8
170905003501258,1,7,0,0,8
221003001601261,3,5,0,0,8
170907004601341,5,2,0,0,7
161006004901045,1,6,0,0,7
161006004901129,3,4,0,0,7
160124002601248,5,2,0,0,7
160916003301169,1,6,0,0,7
221109002601377,0,7,0,0,7
200926004101160,2,5,0,0,7
150409006101292,0,7,0,0,7
161211003901140,4,3,0,0,7
170910005101101,2,5,0,0,7
170909003201020,4,3,0,0,7
170910005101105,1,6,0,0,7
171205002601315,0,7,0,0,7
191107003601347,0,7,0,0,7
151110003101123,7,0,0,0,7
151009003601306,3,3,0,1,7
210914000601329,0,7,0,0,7
161106003601328,3,3,0,1,7
150112002501318,3,4,0,0,7
170828003201140,7,0,0,0,7
170805005101392,1,6,0,0,7
171101001801182,4,3,0,0,7
140711004401197,1,3,0,3,7
151009003101148,0,7,0,0,7
170906003101399,3,4,0,0,7
140806004701022,2,1,0,4,7
151009003601014,5,2,0,0,7
161106004101018,3,3,0,1,7
171001002901175,1,5,0,0,6
170713006101386,2,3,0,1,6
170723005101151,5,1,0,0,6
161013003801283,5,0,0,1,6
150103003001317,0,6,0,0,6
161217003101224,0,6,0,0,6
170909003201311,0,6,0,0,6
170127001601361,3,3,0,0,6
141103003601015,0,5,0,1,6
150427001801398,3,2,0,1,6
161107002101184,0,6,0,0,6
160923004701204,3,3,0,0,6
191109002201058,5,1,0,0,6
160107002601371,1,5,0,0,6
160402005101345,2,4,0,0,6
150409004101151,0,6,0,0,6
161106004101291,1,3,0,2,6
221104002101255,0,6,0,0,6
150903002401094,0,6,0,0,6
151009004601331,1,4,0,1,6
151009003101116,2,3,0,1,6
151111003101172,2,4,0,0,6
151009003601347,2,4,0,0,6
171003003601255,3,0,2,1,6
230731002201392,0,6,0,0,6
161210002601227,1,5,0,0,6
161118004001290,0,6,0,0,6
170906005101373,1,5,0,0,6
150827004601178,0,6,0,0,6
170806005801126,4,1,0,1,6
171003005101061,4,0,0,2,6
161118003501264,4,2,0,0,6
201003005601020,1,5,0,0,6
161219003101078,3,2,0,0,5
161218003101327,2,3,0,0,5
161119003101093,3,2,0,0,5
181225001601267,4,0,0,1,5
161116003301391,4,1,0,0,5
221110003101258,4,1,0,0,5
221231001601333,0,5,0,0,5
200825003301309,0,5,0,0,5
161118003501395,1,4,0,0,5
160816004701303,0,4,0,1,5
150409006101012,0,4,0,1,5
201201003001055,0,5,0,0,5
201003005001259,1,4,0,0,5
201006003601366,0,5,0,0,5
161120002401211,2,3,0,0,5
170910005101261,0,5,0,0,5
221102001601279,0,5,0,0,5
221103002601227,0,5,0,0,5
221003001601230,0,5,0,0,5
161210004201370,1,3,1,0,5
151008003501047,0,5,0,0,5
171001002901035,0,5,0,0,5
151009004101272,3,2,0,0,5
150903002401126,3,2,0,0,5
150705006401307,2,2,0,1,5
151110002601385,3,2,0,0,5
160107001601316,1,4,0,0,5
160815004801317,1,4,0,0,5
151219003101027,0,5,0,0,5
140820003701226,0,5,0,0,5
141202003701330,2,3,0,0,5
161104003801134,0,4,0,1,5
161013003801111,2,2,0,1,5
161104003301111,0,5,0,0,5
161006005901165,3,1,0,1,5
171102003301071,4,1,0,0,5
151230002201353,0,4,0,1,5
151219002601272,0,5,0,0,5
181226002101340,5,0,0,0,5
191107002601384,1,4,0,0,5
140808004701341,4,0,1,0,5
140807006201039,2,3,0,0,5
151009003601102,2,3,0,0,5
151009005101029,4,1,0,0,5
140808004701057,2,0,3,0,5
160107002601281,1,4,0,0,5
170806005801301,1,2,0,1,4
150103003001389,2,1,0,1,4
160402005101360,1,2,0,1,4
160517000101279,1,2,0,1,4
151009004101130,0,4,0,0,4
171001002901108,2,2,0,0,4
161119003101383,1,3,0,0,4
141031003601151,1,3,0,0,4
200901004101254,0,4,0,0,4
200901004101184,0,4,0,0,4
161213001601163,1,3,0,0,4
140414003101306,1,2,0,1,4
150902002901116,0,2,2,0,4
221102001601360,0,4,0,0,4
161217002601097,0,4,0,0,4
161213002601174,3,1,0,0,4
170220001601149,1,3,0,0,4
150112002501093,3,1,0,0,4
171003003601198,2,0,2,0,4
170907004601071,0,4,0,0,4
171101002501387,1,3,0,0,4
170805005101149,3,1,0,0,4
151009003101086,2,2,0,0,4
150903002401145,0,4,0,0,4
161117003501002,1,3,0,0,4
161109004901006,2,0,0,2,4
170117002101203,1,2,0,1,4
160107002101045,1,3,0,0,4
140806004701344,3,1,0,0,4
160110002101290,0,4,0,0,4
170105002101128,3,1,0,0,4
161119003601241,0,4,0,0,4
161006004901112,3,0,0,1,4
161118003501124,1,1,0,2,4
170910004601044,1,3,0,0,4
141031003601276,3,1,0,0,4
221231001601212,0,4,0,0,4
160816004701356,1,3,0,0,4
161011002801194,2,2,0,0,4
161009005901238,3,1,0,0,4
131217002301135,2,2,0,0,4
160110001601055,1,3,0,0,4
191107002601360,0,4,0,0,4
151109003101026,3,1,0,0,4
141104003801016,0,4,0,0,4
171228002101219,1,3,0,0,4
160109002001196,0,3,0,1,4
211216001601378,1,3,0,0,4
200901004101272,0,3,0,0,3
161210002601308,1,2,0,0,3
200901004601146,1,2,0,0,3
200831003901032,0,3,0,0,3
200831003901313,0,3,0,0,3
161116002201070,1,2,0,0,3
161119002601134,2,1,0,0,3
140708007101289,1,0,2,0,3
230801002101392,1,2,0,0,3
221103002601297,0,3,0,0,3
230731003301285,0,3,0,0,3
150902003701386,1,2,0,0,3
221109002601345,0,3,0,0,3
170904001401334,2,0,0,1,3
221003001601342,1,2,0,0,3
170909003201027,3,0,0,0,3
160816004701175,1,1,0,1,3
161006005401336,0,2,0,1,3
141031003601318,1,2,0,0,3
141101003001151,1,2,0,0,3
141102003201081,2,1,0,0,3
141102003201131,1,1,0,1,3
150409005601092,1,2,0,0,3
161212002101204,1,2,0,0,3
161212001601122,0,2,0,1,3
151110003101254,2,1,0,0,3
170220001601366,0,3,0,0,3
170122002101033,0,2,0,1,3
191107002101320,0,3,0,0,3
161117003001296,0,3,0,0,3
160106002101395,2,1,0,0,3
161109004401032,0,3,0,0,3
170119002601072,2,1,0,0,3
161109004901289,2,0,0,1,3
150409002601230,1,2,0,0,3
170115002201351,1,2,0,0,3
170128001601061,0,3,0,0,3
140810005901151,0,3,0,0,3
171230002601273,0,3,0,0,3
160111002101201,0,3,0,0,3
151111003101077,1,1,0,1,3
141104003801107,1,1,0,1,3
171106003001009,1,1,0,1,3
161006005901176,0,3,0,0,3
141231002501125,1,2,0,0,3
171101001801233,0,3,0,0,3
170829003401045,3,0,0,0,3
170829003401149,3,0,0,0,3
170829001101394,1,2,0,0,3
161009004801211,0,3,0,0,3
170911004701168,1,2,0,0,3
161009004801365,0,3,0,0,3
161011002201310,0,3,0,0,3
221104002101335,0,3,0,0,3
230801002101384,0,2,0,0,2
230731003301076,0,2,0,0,2
221109002601267,0,2,0,0,2
221103002601376,0,2,0,0,2
170907004601075,0,2,0,0,2
170910005101122,0,2,0,0,2
170906004601226,1,1,0,0,2
170904001401133,1,0,0,1,2
171027001601036,2,0,0,0,2
171003003601369,1,0,1,0,2
170220001601368,0,2,0,0,2
170829003901129,0,2,0,0,2
170121002201186,2,0,0,0,2
170417004001257,0,2,0,0,2
170508002601379,1,1,0,0,2
170417004001142,1,0,0,1,2
170130001601364,0,2,0,0,2
141103003601298,1,1,0,0,2
171228002701136,1,1,0,0,2
171106003601296,1,1,0,0,2
171029003301007,1,0,0,1,2
171102004501107,0,2,0,0,2
170711005801006,0,2,0,0,2
150706005901097,1,1,0,0,2
151219003101208,0,2,0,0,2
151220002801239,2,0,0,0,2
160107002101028,1,1,0,0,2
160107002601085,0,2,0,0,2
161117003001393,0,2,0,0,2
161116001701343,0,2,0,0,2
161107002101124,0,2,0,0,2
161107003901077,0,2,0,0,2
200926004101220,0,2,0,0,2
160923004701167,0,2,0,0,2
160923004701031,0,2,0,0,2
160923004201303,2,0,0,0,2
141231003001314,1,1,0,0,2
161008003501206,2,0,0,0,2
200904001101046,1,1,0,0,2
161011003401351,1,1,0,0,2
161105004601162,0,2,0,0,2
161011002201275,0,2,0,0,2
161013004901093,0,2,0,0,2
161104003301122,1,1,0,0,2
161209001601037,2,0,0,0,2
161120002401173,0,2,0,0,2
161118003501158,0,2,0,0,2
161118002501177,2,0,0,0,2
161117004601235,0,2,0,0,2
181225002601395,2,0,0,0,2
141102002701254,0,1,0,1,2
161209001601212,0,2,0,0,2
161118004001184,0,2,0,0,2
161118004001364,0,2,0,0,2
161218003601255,0,2,0,0,2
161217003101211,1,1,0,0,2
161213003101278,0,2,0,0,2
170106002601388,0,2,0,0,2
170128002101036,2,0,0,0,2
170122002101276,1,1,0,0,2
150409002601346,0,1,0,1,2
160811004601361,1,1,0,0,2
210919003601187,0,2,0,0,2
210919003601298,0,2,0,0,2
201001003201073,0,2,0,0,2
140811005001133,2,0,0,0,2
210925003001014,0,2,0,0,2
151008004001280,0,2,0,0,2
221102001601267,0,2,0,0,2
221103002601217,0,2,0,0,2
221102001601182,1,1,0,0,2
221003001101021,0,2,0,0,2
150827005201324,1,1,0,0,2
150830005601134,0,2,0,0,2
151009003601294,0,2,0,0,2
140709003801399,1,0,0,1,2
160923003701021,1,1,0,0,2
201001003201232,0,2,0,0,2
201204002101321,0,2,0,0,2
150409002601167,0,2,0,0,2
171102004501165,0,1,0,0,1
171228002701232,1,0,0,0,1
171106003001143,1,0,0,0,1
171206003601232,0,1,0,0,1
170117002601137,1,0,0,0,1
171003005101099,1,0,0,0,1
171003005101272,1,0,0,0,1
171003005101290,1,0,0,0,1
170828003901230,0,1,0,0,1
170828003901354,0,1,0,0,1
170828003901392,0,1,0,0,1
170828004401226,1,0,0,0,1
221221001601110,1,0,0,0,1
221221001601220,0,1,0,0,1
170910006101128,0,1,0,0,1
170910006101248,1,0,0,0,1
221231001601344,0,1,0,0,1
141103004201095,0,1,0,0,1
170413003101183,0,1,0,0,1
170829003901135,1,0,0,0,1
170830004001234,0,1,0,0,1
170830004001065,1,0,0,0,1
170830002801353,0,1,0,0,1
171101003001171,1,0,0,0,1
171102003901080,0,1,0,0,1
171102003301043,0,1,0,0,1
170828003201222,1,0,0,0,1
170828003201385,1,0,0,0,1
170829002901012,1,0,0,0,1
170829003401113,1,0,0,0,1
170829003901293,0,1,0,0,1
221103002601301,0,1,0,0,1
170906004601108,1,0,0,0,1
170906004601059,1,0,0,0,1
170910006101257,0,1,0,0,1
170905003501251,0,1,0,0,1
170910006101292,0,1,0,0,1
161213002601181,0,1,0,0,1
161212002101143,0,1,0,0,1
161213002601118,1,0,0,0,1
161209001601032,0,1,0,0,1
161209001601171,1,0,0,0,1
171230004101385,0,1,0,0,1
161213001601079,0,1,0,0,1
200927003101202,0,1,0,0,1
161115001601309,0,1,0,0,1
161109004901137,0,0,0,1,1
161104003801140,1,0,0,0,1
161115002101342,0,1,0,0,1
161115002101047,0,1,0,0,1
161118005201395,0,1,0,0,1
161119003101123,1,0,0,0,1
161117003501031,0,1,0,0,1
161116002801235,0,1,0,0,1
181226002101110,1,0,0,0,1
181226002101116,1,0,0,0,1
191107002601233,0,1,0,0,1
191106003801336,0,1,0,0,1
161107002801382,0,1,0,0,1
161107003901321,0,1,0,0,1
161211003901020,0,1,0,0,1
161218003101162,0,1,0,0,1
161218002601232,0,1,0,0,1
161217002601072,1,0,0,0,1
140820002101387,1,0,0,0,1
180101003601347,1,0,0,0,1
181221002101237,1,0,0,0,1
181223001601079,1,0,0,0,1
170108001601388,0,1,0,0,1
160402005101075,0,1,0,0,1
160923004201025,0,1,0,0,1
160916004301302,1,0,0,0,1
160816004701070,0,1,0,0,1
161006004401128,0,1,0,0,1
161006005401365,1,0,0,0,1
161006004901032,0,1,0,0,1
160106002601267,0,1,0,0,1
160110002101383,0,1,0,0,1
140807005601045,1,0,0,0,1
210925003001199,0,1,0,0,1
210925003001196,0,1,0,0,1
150409004601389,0,1,0,0,1
150409005101349,0,1,0,0,1
160111002101097,1,0,0,0,1
160418003601368,0,1,0,0,1
160402005101161,0,1,0,0,1
160816004701129,0,1,0,0,1
200927003101344,0,1,0,0,1
201003005001153,1,0,0,0,1
201005003601052,1,0,0,0,1
160325004701396,1,0,0,0,1
160107001601088,0,1,0,0,1
151110003101096,1,0,0,0,1
151219002601097,1,0,0,0,1
150705006401270,1,0,0,0,1
211216001601276,0,1,0,0,1
160106002101048,0,1,0,0,1
140813004601284,0,1,0,0,1
160107002601115,1,0,0,0,1
160106001601078,0,1,0,0,1
160107001601254,0,1,0,0,1
151008004001031,0,1,0,0,1
150903002401324,0,1,0,0,1
221102001601384,0,1,0,0,1
221103002601125,0,1,0,0,1
221103002601114,0,1,0,0,1
221103002601277,0,1,0,0,1
140308000101253,0,1,0,0,1
